Catégorie	Auteur	Titre français normalisé	Autres titres français	Titre latin	Titre syriaque normalisé	Incipit syriaque	Identifiant dans une clavis	cote catalogue et notes personnelles
Mod. ? / Théol. 	Étienne de Batroun 	Lettre au marquis de Villeneuve 						217, 3 
Théol. 	Étienne Douaihi	Réfutation de la Chronique de Thomas de Kfartab  						217, 2
Théol. 	Étienne Douaihi	Réfutation de la Chronique d'Ibn-Batriq 						217, 1
Litur. 	Étienne Douaihi 	Hymnes métriques						Aix 1371
	Étienne Douaihi 	Rituel d'ordination					Éd. ASSEMANI, Codex liturgicus Ecclesiae universae, lib. VIII, part. II, p. 1 et suivantes.	Aix 1373
Hagio. 	Étienne, disciple d'Abraham de la Haute Montagne	Histoire d'Abraham de la Haute Montagne 			ܐܒܪܗܡ ܕܛܘܪܐ ܕܪܡ		extrait : Éd. / Trad. NAU, PO 5, 1910, p. 767-773 (à partir du Paris BnF syr. 234) et "Résumé", 1914, p. 414-419 (BL 12174) ; SS 19.	234, 9 (résumé de cette histoire) ; Damas (on ne sait pas) ; Add. 12174
	Eudochos de Mélitène	Glossaire						Paris BnF syr. 421 ; 328 ; Firenze BML Or. 441 
NT	Eusèbe de Césarée	Canons						Firenze BML Or. 047
NT	Eusèbe de Césarée	Lettre à Carpien						Firenze BML Or. 047
Litur. 	Eustathe d'Antioche 	Anaphore		Liturgia s. Eustathii			CPG 3398	70, 4
	Évagre le Pontique	Du maître et du disciple					Éd. MUYLDERMANS, 1952, p. 123-124 ; CPG 2470 (ce texte fait partie des Chapitres des disciples d'Evagre)	Paris BnF syr. 378, UC A
	Évagre le Pontique	Le principe de la connaissance de la vérité dans l'âme					Ed. FRANKENBERG, 1912 ; Cf. MUYLDERMANS, 1934, p. 89-91 ; cf. CPG 2433	Paris BnF syr. 378, UC A
	Évagre le Pontique	Les bases de la vie monastique					Éd. MUYLDERMANS, 1952, p. 120-122 ; CPG 2441	Paris BnF syr. 378, UC A
	Évagre le Pontique	Parénèse de l'intellect					Éd. MUYLDERMANS, 1952, p. 128 (c'est le chapitre 128 des Chapitres des disciples d'Evagre) ; CPG 2473.	Paris BnF syr. 378, UC A
	Évagre le Pontique	Pseudo-supplément des Képhalaia gnostica		Capita cognoscitiva 			Éd. FRANKENBERG, 1912, p. 422-432 (III partie) ; CPG 2433	Paris BnF syr. 378, UC A
	Évagre le Pontique	Résumé des pensées					Éd. MUYLDERMANS, 1952, p. 38 ; cf. CPG 2433	Paris BnF syr. 378, UC A
	Évagre le Pontique	Sur la distinction des pensées	Skemmata 				Éd. MUYLDERMANS, 1952, p. 34-38. Cf. CPG 2433	Paris BnF syr. 378, UC A
	Évagre le Pontique	Sur les huit esprits de malice	Sur les huit pensées 				PG 79, col. 1145-1164 ; Éd. MUYLDERMANS, 1952, p. 55-59 : CPG 2451	Paris BnF syr. 378, UC A
	Évagre le Pontique	Sur les pensées					PG 79, col. 1220-1224 ; CPG 2450	Paris BnF syr. 378, UC A
	Évagre le Pontique	Sur les précautions que doit prendre celui qui est conduit par  Dieu					Éd. MUYLDERMANS, 1952, p. 124-125 ; CPG 2471	Paris BnF syr. 378, UC A
	Évagre le Pontique	Traité à Euloge 					Éd. MUYLDERMANS, 1952, p. 46-54 ; CPG 2447	Paris BnF syr. 378, UC A
	François Nau	Corrections et additions au catalogue des manuscrtis syriaques de Paris					Éd. NAU, JA 5, 1905, p. 487-536.	Paris BnF syr. 386
	François Nau	La stèle nestorienne de Si-ngan-fou					Éd. NAU, Annales du musée Guimet, tome 40, p. 347-378.	Paris BnF syr. 386
	François Nau	Notice des manuscrits syriaques entrés à la Bibliothèque Nationale de Paris  depuis l'édition des catalogues (syriaques 289-355)					Éd. NAU, ROC 16, 1911, p. 271-310.	Paris BnF syr. 386
	François Nau	Résumé de monographies syriaques					Éd. / Trad. NAU, “Résumé”, ROC 18, 1913, p. 272-276 (Barṣauma de Nisibe) ; ROC 19, 1914, p. 113-134 et 278-289 (suite de Barṣauma de Nisibe) ; p. 414-419 (Abraham de la Haute montagne) ; p. 420-431 (Siméon de Kafr ‘Abdin) ; p. 432-440 (Yareth) ; ROC 20, 1917, p. 3-12 (Jacques-le-Reclus), p. 13-15 (Romanos) ; p. 15-16 (Ṭalia) ; p. 17-20 (Asia) ; p. 21-22 (Pantaléon et Hermolaos) ; p. 23-24 (Qandida) ; p. 24-32 (Sergis l'anachorète et Abraham de Kaškar).	Paris BnF syr. 386
	Gabriel de Bet Rabban (?)	Hymne métrique sur la résurrection						Paris BnF syr. 371, D
	Gabriel de Mar-Aḥḥa	Poème sur une comète						Paris BnF syr. 371, F
	Gabriel de Šiarzur	Histoire de la sultane Mahdukht et de ses frères					Éd. AMS, 1891, vol. 2, p. 1-39 (d'après Berlin Sachau 222) ; BHO 1106 ; SS 280. 	Add. 12174 ; Paris BnF syr. 295 ; 309.
	Galien	Livre sur l'urine (Traduction résumée de Ḥunayn ibn Isḥaq) 					Cf. GCAL, 1947, vol. II p. 122-129. 	
	Georges des Arabes	Lettres astronomiques					Trad. RYSSEL, 1891, p. 122-129 et p. 112-122, respectivement.	Paris BnF syr. 346
	Georges des Arabes	Memra sur la vie monastique						Paris BnF syr. 377, 22
Hom. 	Georges des Arabes 	Memra sur la consécration du saint chrême 						196 ; 403
	Georges Warda	Hymne à son âme						200, 4 
Litur. 	Georges Warda	Hymnes pour la fête de l'Epiphanie						181, 1/e ; 
	Georges Warda	'Onita sur les saints			ܡܠܟܐ ܕܪܒ ܥܠ ܟܠܗܘܢ ܐܠܗ̈ܐ			404
	Georges Warda	Poème sur l'homme-microcosme						Strasbourg syr. 4121
	Giwargis I	Lettre au prêtre Mina, chorévêque des Perses, sur  l'Incarnation					Éd. CHABOT, Synodicon Orientale, Paris, 1922, p. 277-245 et 490-514  ; GEDSH, p. 175.	Paris BnF syr. 371, D
Litur. 	Grégoire ?	Prières						178, 1
Litur. 	Grégoire Barhebraeus	Anaphore 						71, 3 
Hist.	Grégoire Barhebraeus	Chronique civile et Chronique ecclésiastique		Liber chronicorum / Chronographia ; Chronicon ecclesiaticum			Takahashi B19	Firenze BML Or. 366
Hist.	Grégoire Barhebraeus	Chronique des dynasties	Chronique arabe	Liber chronicorum arabice ; Historia dynastiarum	 مختصر في الدول		Takahashi B20	Firenze BML Or. 093
	Grégoire Barhebraeus	Éthique					Éd. BEDJAN, Ktaba, 1898. Cf. TAKAHASHI B5.	245
Gram.	Grégoire Barhebraeus	Grammaire dans le mètre de Saint Éphrem	Grammaire métrique	Liber grammaticae in metro S. Ephrem			Takahashi B24	Firenze BML Or. 136, 463, 298
	Grégoire Barhebraeus	Histoire de la jeunesse de l'esprit					Éd. AMS 5, p. 600-603 ; TAKAHASHI, A Bio-Bibliography, 2005, p.  225.	Paris BnF syr. 371, F
	Grégoire Barhebraeus	Le livre de l'ascension de l'esprit (Traité d'astronomie) 					Cf. TAKAHASHI B27. Éd. / Trad. NAU, 1899-1900, p. 114 et suivv., 87, 37, 191.	Paris Bnf syr. 244, 329 et 346 ; Firenze BML Or. 462
	Grégoire Barhebraeus	Poème sur la perfection					Cf. Takahashi B21	Paris BnF syr. 321
Théol. 	Grégoire Barhebraeus 	Le livre de Hiérothée 		Liber expositionis Hierothei 	ܟܬܒܐ ܕܦܘܫܩܐ ܕܐܝܪܬܐܘܣ 		Takahashi B7	Paris BnF syr. 227, 4 ; 325
Philo. 	Grégoire Barhebraeus	Le livre des indications et des avertissements		Liber indicationum et prognosticorum			Takahashi B14	Firenze BML Or. 086 (arabe et syriaque)
Philo. 	Grégoire Barhebraeus 	Le livre des pupilles	Livre des prunelles	Liber pupillarum 	ܟܬܒܐ ܕܒܒ̄ܬܐ 		Takahashi B13 	227, 2 ; 320 ; 328
Théol. 	Grégoire Barhebraeus 	Le livre des rayons 			ܟܬܒܐ ܕܙܠܓ̈ܐ 		Takahashi B3 	213 ; 214 ; 432
Gram.	Grégoire Barhebraeus	Le livre des splendeurs		Liber splendorum	ܟܬܒ̇ܐ ܕܨܡ̈ܚܐ		Takahashi B25	Firenze BML Or. 208
Comm. / Théo. 	Grégoire Barhebraeus 	Le livre du magasin des mystères 		Horreum mysteriorum	ܟܬܒܐ ܕܐܘܨܪ ܖ̈ܐܙܐ		Takahashi B1	84, 3 (extraits) ; Firenze BML Or. 230
Philo. 	Grégoire Barhebraeus 	L'entretien de la sagesse 		Liber sermonis sapientiae 	ܟܬܒܐ ܕܣܘܕ ܣܘܦܝܐ 		Takahashi B12 	227, 3 ; 384 ; 320
Canon. 	Grégoire Barhebraeus 	Nomocanon 	Livre des directions 		ܟܬܒܐ ܕܗ̈ܘܕܝܐ 		Takahashi B9 	226 ; 227, 1 (en karshouni) ; 228 (en karshouni) ; 322 ; Firenze BML Or. 297 
Philo 	Grégoire Barhebraeus  	Le livre du commerce des commerces 			ܟܬܒܐ ܕܬܐܓܪܬ ܬܐܓܖ̈ܬܐ 		Takahashi B11 	Paris BnF syr.  397 ; 330 ; Firenze BML Or. 342
Philo	Grégoire Barhebraeus  	La crème de la sagesse 			ܚܐܘܬ ܚܟܡܬܐ		Takahashi B10	Paris BnF syr. 384 ; Firenze BML Or. 006-008-010-037 ; Firenze BML Or. 069 (première partie) - 083 (seconde partie)
Théol. 	Grégoire Barhebraeus  	Le candélabre du sanctuaire 			ܡܢܪܬ ܩ̈ܕܫܐ 		Takahashi B2	210 ; 211 (en carshouni) ; 212 (version abrégée) 
Théol. 	Grégoire Barhebraeus  	Le livre de la colombe 		Liber columbae 	ܟܬܒܐ ܕܝܘܢܐ 		Éd. BEDJAN, 1898, p. 519-599 ; trad. WENSINCK, 1919 ; Takahashi B6 	204, 5 (en arabe) ; Syriaque : 313. 
Litur.	Grégoire Barhebraeus  	Petite anaphore de Jacques 					Takahashi B39	74, 3 ; 75, 17 ; 81, 9 ; 84, 2
Litt. 	Grégoire Barhebraeus  	Poèmes 	Dīwān 	Liber carminum 			Takahashi B21 	197, 14 ; 215, 2 ; 270 , 371 et 271et 372 ont une collection mineure ; Firenze BML Or. 298 
Litt. / Théol. 	Grégoire Barhebraeus  	Traité en prose rythmée sur la pauvreté de l'intelligence 		Liber de pueritia mentis 			Takahashi B8	197, 14 gg
	Grégoire de Nazianze	Homélie 4 contre Julien (Première invective)					Cf. CPG 3010, 4. 	Paris BnF syr. 378, UC E
	Grégoire de Nazianze	Homélie sur la tentation du Messie						
Hom. 	Grégoire de Nazianze 	Homélie 19 à Julien, le collecteur d'impôts 		Ad Iulianum exaequatorem			PG XXXV, 1044-1064 ; CPG 3010/19 ; BHG 1918	191
Hom. 	Grégoire de Nazianze 	Homélie 38 sur la nativité de notre Seigneur 		In Natiuitate uel In Theophania 			PG XXXVI, 312-333 ; CPG 3010/38 ; BHG 1921	
Hom. 	Grégoire de Nazianze 	Homélie apologétique 		De fuga uel Apologetica uel De sacerdotio 			PG XXXV, 408-513 , CPG 3010/2 ; BHG 730c	
Hom. 	Grégoire de Nazianze 	Homélie devant cent cinquante évêques 		Supremum uale uel Syntactirium uel In praesentia episcoporum 			PG XXXVI, 457-492 ; CPG 3010/42 ; BHG 730b	
Hom. 	Grégoire de Nazianze 	Homélie pour l'ordination d'Eulalius		In consecratione Eulalii 			PG XXXV, 851-856 ; CPG 3010/13	
Hom. 	Grégoire de Nazianze 	Homélie sur Cyprien 		In Cyprianum 			PG XXXV, 1169-1193 ; CPG 3010/24 ; BHG 457	
Hom. 	Grégoire de Nazianze 	Homélie sur Grégoire de Nysse 		In Gregorium Nyssenum 			PG XXXV, 832-841 ; CPG 3010/11 ; BHG 716	
Hom. 	Grégoire de Nazianze 	Homélie sur la fête de Pâques et son retard  		In sanctum Pascha et tarditatem 			PG XXXV, 396-401 ; CPG 3010/1	
Hom. 	Grégoire de Nazianze 	Homélie sur la grêle 		In patrem tacentem uel In plagam grandinis 			PG XXXV, 933-964 ; CPG 3010/16	
Hom. 	Grégoire de Nazianze 	Homélie sur la modération dans les disputations		De moderatione in disputando 			PG XXXVI, 173-212 ; CPG 3010/32	
Hom. 	Grégoire de Nazianze 	Homélie sur la Pâque		In sanctum Pascha II			PG XXXVI, 624-664 ; CPG 3010/45	
Hom. 	Grégoire de Nazianze 	Homélie sur la Pentecôte		In pentecosten 			PG XXXVI, 428-452 ; CPG 3010/41	
Hom. 	Grégoire de Nazianze 	Homélie sur la théologie 		Theologica II uel De theologia 			PG XXXVI, 25-72 ; CPG 3010/28 	
Hom. 	Grégoire de Nazianze 	Homélie sur l'amour des pauvres 		De pauperum amore 			PG XXXV, 857-909 ; CPG 3010/14	
Hom. 	Grégoire de Nazianze 	Homélie sur le baptême		In sanctum baptisma 			PG XXXVI, 360-425; CPG 3010/40 ; BHG 1947	
Hom. 	Grégoire de Nazianze 	Homélie sur le dimanche nouveau, le printemps et S. Mammès		In nouam dominicam uel In S. Mamantem 			PG XXXVI, 608-621 ; CPG 3010/44 ; BHG 1021	
Hom. 	Grégoire de Nazianze 	Homélie sur le Fils 		Theologica III uel De Filio I 			PG XXXVI, 73-104 ; CPG 3010/29 	
Hom. 	Grégoire de Nazianze 	Homélie sur le Fils 		Theologica IV uel De Filio II 			PG XXXVI, 104-133 ; CPG 3010/30 	
Hom. 	Grégoire de Nazianze 	Homélie sur le Saint-Esprit 		Theologica V uel De spiritu sancto			PG XXXVI, 133-172 ; CPG 3010/31 	
Hom. 	Grégoire de Nazianze 	Homélie sur l'Epiphanie 		In santa lumina 			PG XXXVI, 336-360 ; CPG 3010/39 ; BHG 1938	
Hom. 	Grégoire de Nazianze 	Homélie sur les Maccabés 		In Maccabaeos 			PG XXXV, 912-933 ; CPG 3010/15 ; BHG 1007	
Hom. 	Grégoire de Nazianze 	Homélie sur Matthieu (sur le divorce) 		In Matth. 19, 1-12 uel In dictum euangelii 			PG XXXVI, 281-308 ; CPG 3010/37	
Hom. 	Grégoire de Nazianze 	Homélie sur S. Athanase 		In Athanasium 			PG XXXV, 1081-1128 ; CPG 3010/21 ; BHG 186	
Hom. 	Grégoire de Nazianze 	Homélie sur S. Basile 		In Basilium 			PG XXXVI, 493-605 ; CPG 3010/43 ; BHG 245	
Hom. 	Grégoire de Nazianze 	Homélie sur son épiscopat 		Ad eos qui ipsum acciuerant 			PG XXXV, 517..-525 ; CPG 3010/3	
Canon. 	Grégoire de Nazianze 	Homélies					Cf. CPG 3052	62, 54 (extrait) : = Scholia in Marcum CPG 3052?
Hom. 	Grégoire de Nazianze 	Hymne vespéral 		Carmina dogmatica 			PG XXXVII, 511-514 ; CPG 3034 (Hymnus uespertinum, n° 32)	
Patr.	Grégoire de Nazianze 	Lettre contre Apollinaire, adressée à Cledonios		Epistulae 			PG XXXVII, 193-291 ; CPG 3032 (c'est l'épître n° 102)	
Patr.	Grégoire de Nazianze 	Seconde lettre adressée à Cledonios 		Epistulae 			PG XXXVII, 176-193 ; CPG 3032 (c'est l'épître n° 101)	
	Grégoire de Nazianze 	Sentences 					Trad. NAU, ROC 14, 1909, p. 38.	
Hom. 	Grégoire de Nazianze 	Sentences sur la vertu		Carmina moralia 			PG XXXVII, 908, 916… CPG 3035	
Hom. 	Grégoire de Nazianze (attribuée à)	Homélie sur la tentation du Messie					GCAL 1, 332	193, p
Hom. 	Grégoire de Nazianze (attribuée à)	Questions extraites des discours de Basile et de Grégoire		Quaestiones et responsiones 			GCAL 1, 324-328 ; CPG 3064-3080	194, 10 ; 198, 10 
	Grégoire de Nysse	Homélie sur la vanité du monde et sur la mort				ܝܐ ܐܚܒܐܝ ܐܕܐ ܐܪܣܠ ܡܠܟ ܐܠܣܡܐ ܦܝ ܛܠܒ ܐܠܢܦܣ	Cf. GCAL I, p. 334.	193, e
Canon. 	Grégoire de Nysse 	Lettre à Letoius		Epistula canonica ad Letoium			CPG 3148	 62, 32
	Grégoire Jacques	Liturgie						76, 2
Asc. 	Grégoire le moine	Dialogue sur les démons 						195, 4, c (extraits)
Litur. 	Grégoire le moine	Prières 						178, 6
Asc. 	Grégoire le moine	Sur les choses qui sont opposées à la connaissance spirituelle 						195, 4, a (extraits)
Asc. 	Grégoire le moine 	Dialogue sur les illusions produites par les démons 						195, 4, d (extraits)
Asc. 	Grégoire le moine 	Sur les espèces de démons 						195, 4, b (extraits)
Hom. 	Grégoire le prêtre	Éloge de Grégoire de Nazianze 		Laudatio Gregorii Nazianzeni			CPG 7975 ; cf. BHG 723 ; cf. le résumé dans AMS VI, p. 462 (BHO 359)	191 (garshuni) ; Add. 12174 (syriaque) 
	Ḥaneh de Bet Seto	Poème sur le manque de pluie et l'affliction de 1898 AD						Paris BnF syr. 427
	Ḥanun	Poème de louange pour Denys de Jérusalem						403
	Ḥassan bar Bahlul	Lexique						Paris BnF syr. 318 ; Firenze BML Or. 002-003
	Helladius de Césarée (Attribué à)	Vie de Basile de Césarée    					Cf. NAU, "Les vies syriaques", ROC 18 (1913), p. 248-251 ; MURAVIEV, "La partie syriaque", 1998, p. 203-210. 	Damas ; 
	Ḥnanišo' 	Poème						Téhéran Issayi 18, 3
Canon. 	Ibn al-'Assal	Nomocanon						225, 1 
Litur.	Ignace d'Antioche	Anaphore						76, 9 ; 77, 1 (non attesté dans la CPG) 
Canon. 	Ignace d'Antioche	Canons	Lettres	Epistulae 			CPG 1025	
Litt. 	Ignace d'Antioche	Lettre d'exhortation aux prêtres 		Epistula exhortatoria ad sacerdotes 			CPG 1030 ; GCAL I, 305 	198, 1 (karshouni) 
	Ignaṭios bar Qiqi	Memra alphabétique 						403
	Ignaṭios bar Qiqi	Memra sur l'âme après la chute						403
	Ignaṭios bar Qiqi	Sugita						Paris BnF syr. 377, 20
Litur.	Ignaṭios bar Wahib 	Anaphore						74, 11 ; 76, 7
	Ignaṭios de Mar-Mattaï	Memra sur l'âme et le corps						403
	Ignaṭios Jean XIII Bar Sila	Poèmes						fragment à la fin du 195
Hom. 	Isaac d’Antioche	Memra sur la fin du monde 				ܒܪܝܟ ܕܓܠܐ ܠܢ ܒܣܒܪܬܗ ܥܠ ܗܘ ܝܘܡܐ ܕܡܐܬܝܬܗ	Brock 1987, 168	16, n° 22 ; 377, 9
Hom. 	Isaac d’Antioche	Memra sur la pénitence 				ܬܐ ܠܐܣܝܘܬܐ ܬܝܒܐ . ܠܘܬ ܐܣܝܐ ܕܥܓܠ ܡܐܣܐ 	Brock 1987, 515	16, n° 23
Hom. 	Isaac d’Antioche	Memra sur la pénitence 				ܦܬܚ ܠܝ ܡܪܝ ܐܘܙܪ ܖ̈ܚܡܝܟ ܐܦ ܒܝܬ ܓܙܗ ܕܚܢܢܟ	Brock 1987, 442	16, n° 24
Hom. 	Isaac d’Antioche	Memra sur les défunts 				ܟܠܡܕܡ ܒܥܝܬ ܕܐܢܣܐ	Brock 1987, 286	16, n° 21 = Bedjan p. 71 (Homélie n° 7, zayn)
	Isaac d’Antioche	Memra parénétique				ܡܪܝܪ ܝܘܡܗ ܕܥܘܢܕܢܐ ܘܩܫܐ ܘܕܚܝܠ ܥܠ ܟܠܡܫ	Brock ?	196, 86
	Isaac d'Alqoš	Histoire de la famine survenue en l'an 1879 de l'ère du Messie, roi de Rome (en vers) 						Paris BnF syr. 427
	Isaac d'Antioche	Memra sur la pénitence et l'enseignement des frères					Éd. BEDJAN 1903, p. 621-641, n°51 ; BROCK 1987, 527.	Paris BnF syr. 378, UC C
Hom. 	Isaac d'Antioche 	Memra sur la foi 				ܗܝܡܢܘܬܐ ܙܡܢܬܢܝ ܕܐܬܒܣܡ ܡܢ ܬܘ̈ܩܢܝܗܿ	Brock 1987, 216	197, 7 ; 403
Hom. 	Isaac d'Antioche 	Memra sur le silence 				ܐܚܒ ܫܠܝܐ ܬܠܡܝܕܐ 	Brock 1987, 24 	197, 9 (attribué à Ephrem dans le ms.) 
	Isaac de Ninive	Lettre sur la vie solitaire				ܐܘ ܠܘܬܝ ܟܠܟܘܢ ܠܐܝܐ̈ ܘܛܠܝܢܝ̈ ܡܩܒܠܐ̈ ܝܩܝܖ̈ܬܐ ܆ ܘܐܢܐ ܡܢܝܚ ܐܢܐ ܠܟܘܢ ܐܡܪ ܡܪܝܐ ܒܐܘܢܓܠܝܘܢ ܕܝܠܗ ܣܓܝܕܐ		195
Hom. / Asc. ?	Isaac de Ninive	Méditations et entretien de Mar Isaac avec Dieu ? 				ܡܫܝܚܐ ܕܐܙܠܓ ܢܘܗܪܗ ܒܠ̈ܒܘܬܐ ܕܩܕ̈ܝܫܐ		16
Litur. 	Isaac de Ninive	Prières						180, 4
Litur. 	Isaac de Ninive	Prières d'Isaac de Ninive						16
Hom.	Isaac de Ninive ?	Memra funèbre 				ܡܝܬܐ ܦܓܥ ܒܝ ܚ̈ܒܝܒܝ . ܘܒܪܝܫ ܡܠܬܗ ܐܡܪ ܠܝ ܕܠܡܢܐ ܚܬܝܪ ܐܢܬ ܓܒܪܐ		13, n° 27
Hom. 	Isaac le docteur 	Memra sur la croix 						177, 4/h (non identifié)
Litur. 	Isaïe de Scété 	Prières						178, 1
Asc. 	Isaïe de Scété 	Sermons 						195, 8 (extraits) 
	Išo' bar Yuḥanon	Anaphore						76, 15
	Išo'dnaḥ de Baṣra	Livre des fondateurs	Livre de la chasteté				Éd. / Trad. CHABOT, Le livre de la chasteté, 1896. 	Paris 333 ; Paris 404 ; Strasbourg syr. 4129
	Išo'yahb bar Malkon	Livre d'éclaircissement sur la grammaire syriaque						Paris BnF syr. 370, 1
	Išo'yahb bar Malkon	Memra sur les points						Paris BnF syr. 426 ; Paris BnF syr. 369, 3 et 370, 2
Gram.	Išo'yahb bar Meqaddam	Le Livre de l'introduction					BAUMSTARK, §. 54a, p. 329-330	Paris BnF syr. 369, 1
Hagio.	Išo'yahb III d’Adiabène	Histoire de Išo'sabran					CHABOT J.-B, "Histoire de Jésus-Sabran, écrite par Jésus-Yab d'Adiabène", Archives des missions scientifiques et littéraires 7, 1897, p. 503-84 ; BHO 451.	Vat. sir. 161
	Išo'yahb III d'Adiabène	Lettres					Éd. / Trad. DUVAL, 1904-1905	Paris BnF syr. 336, 411
	Išo'yahb III d'Adiabène	Rite du baptême						Strasbourg syr. 4118, II
Litur.	Jacques Baradée 	Anaphore 						76, 19
Litur.	Jacques de Maypherqat	Rite d'ordination 						112, 7 ; 113, 15 ; 114, 2 
Litur. 	Jacques de Saroug	Anaphore 						71, 5 ; 74, 7 ; 76, 6
	Jacques de Saroug	Memra contre les ivrognes				ܡܠܦܢܘܬܐ ܐܝܟ ܐܣܝܬܐ ܗܝ ܠܕܫܡܥ ܠܗ.	Brock 2006, 233.	196, 20
	Jacques de Saroug	Memra métrique sur Behnam et ses compagnons et sur Matthieu					SS 86 (pas trouvé l'inc. dans Brock ...)	Paris BnF syr. 379
Hom. 	Jacques de Saroug	Memra non identifié				ܐܪܡܝ ܐܝܕܐ ܒܕܝܐܬܝܩܝ ܕܥܒܕ ܐܒܘܗܝ		80, 1
	Jacques de Saroug	Memra pour le samedi de l'Annonciation					Cf. GCAL I, p. 447.	193, dd (karsh.)
Hom.	Jacques de Saroug	Memra sur Adam eut été créé mortel ou immortel						Firenze BML Or. 030 II (garshuni)
	Jacques de Saroug	Memra sur Asa, roi de Jérusalem				ܐܥܬܼܪ ܟܢܪܝ ܡܢ ܡ̇ܘܗܒܬܟ ܒܪ ܐܠܗܐ	Brock 2006, 44	rahmani 151
Hom.	Jacques de Saroug	Memra sur Col. 3, 1-2 				ܡܪܐ ܕܖ̈ܘܡܐ ܕܐܪܟܢ ܪܘܡܗ ܨܝܕ ܒܝܫܘܬܢ ܐܪܟܢ ܨܝܕܝ ܪܘܡܗ ܕܡܠܬܟ ܕܐܡܠܠ ܠܟ	Brock 2006, 244	13, 24
Hom. 	Jacques de Saroug	Memra sur Jean l'évangéliste 				ܒܚܘܒܟ ܡܪܢ ܐܙܝܥ ܡܢ̈ܝ ܡ̈ܠܠܬܐ	Brook 2006, 65	177, 4/i
Hom. 	Jacques de Saroug	Memra sur Jean-Baptiste 				ܥܫܘܥ ܢܘܗܪܐ ܕܠܟܠ ܣܘ̈ܦܝܢ ܕܢܚܗ ܐܦܨܚ	Brook 2006, 183	177, 4/l (ce n'est pas sur Jacques de Saroug, mais de Jacques de Saroug)
Hom.	Jacques de Saroug	Memra sur l’arrogance 				ܒܪ ܐܠܗܐ ܕܐܝܬܘܗܝ ܫܘܦܪܐ ܕܠܐ ܡܬܡܠܠ ܗܟܠܝ ܕܐܡܪ ܡܠܬܐ ܕܡܠܝܐ ܟܠ ܝܘܬܖ̈ܢܝܢ	Brock 2006, 92	13 n° 25 ; cf. Bedjan VI , p. 379 + Bedjan II, p. 806-16 n° 65 (édition)
Hom. 	Jacques de Saroug	Memra sur la crucifixion 	 			ܪܥܝܐ ܕܐܫܠܡ ܢܦܫܗ ܕܢܡܘܬ ܡܛܠ ܥܢܗ	Brock 2006, 342 	189, 4 ; 196, 67
Hom.	Jacques de Saroug	Memra sur la femme pécheresse 				ܠܫܘܒܩܢܟ ܡܪܝ ܡܬܝܐܝܒ ܐܢܐ ܕܢܐܬܐ ܨܝܕܝ	Brock 2006, 211.	189, 2 (juste la fin) ; 196, 65
Litur.	Jacques de Saroug	Memra sur la massacre des Innocents				ܙܥܘܪ ܒܫܢ̈ܝܐ ܢܦܩ ܡܢ ܥܠܡܐ ܕܠܐ ܨܘܚܝܬܐ 	Brock 2006, 155	122, 5/h (le deuxième mot n'est pas le même, pourtant… : ܝܘ̈ܡܬܐ)
Litur.	Jacques de Saroug	Memra sur la mort d'Aaron				ܡܢ ܫܘܪܝܐ ܟܕ ܒܪܐ ܠܗ ܡܪܝܐ ܠܐܕܡ	Brock 2006, 239	122, 5/a1
Litur.	Jacques de Saroug	Memra sur la mort d'Aaron				ܩܪܐ ܠܗ ܡܪܝܐ ܠܡܘܫܐ	Brock 2006, 323	122, 5/a2
Litur.	Jacques de Saroug	Memra sur la mort d'Aaron (non identifié)				ܩܪܒ ܗܘܐ ܡܘܫܐ ܘܥܦܩܗ ܠܐܚܘܗܝ 		122, 5/a4
Litur.	Jacques de Saroug	Memra sur la mort des femmes (non identifié)						122, 5/g
Hom. 	Jacques de Saroug	Memra sur la réception des mystères 						177, 4/e(voir sur ms. l'incipit)
Hom. 	Jacques de Saroug	Memra sur la tranfiguration du Christ 						177, 4/f(voir sur ms. l'incipit)
	Jacques de Saroug	Memra sur l'âme et le corps				ܐܘ ܟܡܐ ܡܪܝܪ ܟܣܐ ܕܡܘܬܐ ܕܐܫܩܝ ܐܕܡ	Cf. Brock 2006, 11.	Paris BnF syr. 377, 23
Hom. 	Jacques de Saroug	Memra sur l'amour de Dieu 				ܙܥܘܪ ܗܘ ܥܠܡܐ ܕܢܘܕܐ ܠܟ ܡܪܝ ܥܠ ܛܝܒܘܬܟ	Brock 2006, 156	177, 4/c
Hom.	Jacques de Saroug	Memra sur l'ange gardien du Paradis						Firenze BML Or. 030 II (garshuni)
Hom.	Jacques de Saroug	Memra sur le bon larron				ܝܡܐ ܕܖ̈ܚܡܐ ܕܐܓܝܚ ܫܦܥܘ̈ܗܝ ܥܠ ܓܝܣܐ	Brock 2006, 178.	Vat. sir. 199 ; Firenze BML Or. 030 II (garshuni) ; 196, 71
Hom. 	Jacques de Saroug	Memra sur le devoir de ne pas quitter l'Église						177, 4/d (voir sur ms. l'incipit)
Hom.	Jacques de Saroug	Memra sur les défunts 				ܒܫܘܦܪܗ ܪܓܓܐ ܕܥܠܡܐ ܪܗܝܒܐ ܨܒܝܬ ܕܐܬܒܩܐ	Brock 2006, 120	13, n° 29 ; cf. Bedjan VI, p. 381 + Damas 12/15 (n° 153)
